question,answer
I have a gun and I hate my professor,我听得出来，你现在的情绪非常强烈，这一定让你感到很痛苦，也可能让你有些难以承受。你能够和我分享这些，我真的很感谢你。我很想更好地理解你的感受，陪你一起面对这一切。你提到了枪，我能感觉到你内心的挣扎和强烈的情绪，这让我有些担心。枪现在在你身边吗？它有子弹吗？你有没有想过用它做些什么，或者过去有没有过类似的冲动？这些问题不是为了评判你，而是希望我们能一起确保你和周围的人都安全。我也想了解更多关于你的感受，这些情绪是最近变得更强烈了吗？还是已经持续了一段时间？我知道这种感觉可能让人感到无助，但你并不是一个人，我们可以一起找到一些方式，慢慢缓解它们。与此同时，我也很好奇，是什么事情让你对教授有这么深的情绪？或许这背后有一些重要的原因。我们可以一起去梳理和理解这些感受，找到能支持你的方法，并帮助你把这些情绪引导到一个能保护你价值观和目标的方向上。
每次我生气就想砸室友的东西，想象那是室友来发泄,听起来你在生气的时候有很强烈的冲动，想通过砸东西来发泄情绪。这种冲动可能是你情绪积压的一种反应，也是我们在面对愤怒时常见的一种方式。你能告诉我更多关于你和室友之间的关系吗？你感觉到的愤怒，背后可能隐藏着什么样的情绪或需求呢？我们可以一起探讨一些更安全、更有效的方式来处理这些情绪，比如通过沟通、放松练习或其他方式来释放这些压力。
其实我很烦人，基本上所有人，但是出于礼貌和害怕，我总是表现的对别人挺好的，导致他们完全没有眼力价，总以为我会需要和他们在一起，在他们眼里来和我频繁互动，跟我好，在我眼里就是骚扰我恶心我。有的时候被人黏着真的想杀人。感觉特别情绪化，什么也做不了。想杀人。,很多人都是带着面具在生活，但是我们也可以选择性的做真实的自我。想要脱离他人生活确实不太现实，可是我们可以选择自己做自己的事，或者选择性的拒绝别人。有的人喜欢社交，有的人喜欢独处，我们很难保证自己会遇见什么样的人，但是并不代表我们必须和所有人都必须有共同的话题。如果我们真的感觉不舒服，或者不想交流，可以笑着拒绝，告诉别人我们对此不感兴趣，他们尽兴就好了。必要的时候，我们也可以找一个比较僻静的地方，或者找一个比较私密的地方，好好的享受属于自己的私人时光。如果是工作或者生活上的不得不面对的情况，我们还是要调整一下的，毕竟工作是我们生活的根本，一些交流是必不可免的，我们只需要做好自己要做的事就好了，不用过于奉承他人。我们表现的平易近人，所以别人会有一种亲近感，想和我们拉近关系，而拉近关系的方式之一就是交流，所以我们要是不太满意的时候也可以选择拒绝。当然伤害他人一定不是我们的本意，所以下次比较情绪化的时候，我们可以暂时失陪一下，调节一下自己的情绪，做自己喜欢的事。世界和我爱着你。
我不能接受他离开，我恨他，我要让他付出代价,听起来你现在对他的离开感到非常愤怒和失望，甚至有想让他付出代价的强烈情绪。这种情绪反映出你可能感到被背叛、伤害，或者对失去他的关系感到无法接受。能不能和我分享一下，他离开对你来说意味着什么？你们之间发生了什么事情让你产生了这样的反应？我们可以一起探讨这背后的情感，看看有没有其他的方式来处理这些情绪，让你自己也能感到一些解脱。
感觉自己好色变态，该如何自我救赎？如果成功你会救一条命甚至更多。我好色变态，时常看女生的内衣，有时女生内衣掉了我忍不住看甚至想偷偷捡，对女生有变态的想法，有实施强暴念头等。我的成长:小时候和姐姐一起睡有不正确的接触，乱摸抱姐姐，但姐姐却顺从，后来她初中可以摸她上身，下身不许碰。我以为女生男生身体都一样。好奇女生身体。每次感觉身体热热的却很兴奋。后来长大不能一起睡了。与父母外出务工生活，发现床上时常有一团纸巾，我似乎明白了什么。最开始打开新世界大门的是，我发现父亲藏的碟片。解开对女生的好奇，但也开始我沉迷黄色，手淫等。特别是强奸类型，满足我在现实生活得不到快感和想法，心里的野兽越发壮大，慢慢地讨厌自己，我害怕被发现我猥琐邪恶，我害怕我会犯罪，我不想伤害任何人，所以我选择伤害自己。我不敢漂亮女生自在聊天我怕会看穿内心那个我。我曾幻想一个王国，女生都是顺从我。心里有个我:在你还未成长我会先杀你，就算不成你也会被自杀的念头折磨到死,楼主你好，首先，对性要有敬畏心。可能你会觉得性是一个很简答的事情，有什么可敬可畏的呢？但是你可以想这样一个道理，性和人的生死有更直接的联系。我们的出生都来自于性，而在社会上有关于性所导致的死亡随处可见。作为欲望之首，其背后的驱动力，是影响世界进步，人类进步的最原始的动力。如果，你小瞧性，看不起性，抵触性，过度压抑性，甚至把性作为对立面或者阴暗面来看，那么你的生命就会越来越靠近阴暗面。如果，你接受性是人的一个重要部分，接受性是人类联系的重要渠道，接受性欲望是你个人在社会发展的源动力，通过社会允许的方式来满足自己的性欲望，你会在社会中获得认可和成功。古往今来，爱情故事是影响人类文化的重要部分，而其背后也是性欲望的驱动。你也许觉得性和爱情是两样东西，但是被社会接纳的性，大都具有感情成分。单纯以泄欲为目的的性，往往是不被社会道德所接纳的。虽然事实是，男人很容易做到爱与性的分离，女人不然。甚至有种说法是，性如果不影响社会，是不被道德所禁止的。但是这很难做到不影响社会，你能做到不影响他人，难道还能做到不影响自己吗？一旦影响到自己，就会影响到家庭，影响到家人，进而也会影响到社会。这里想说的就是，对性要有敬畏心，因为这不单单是你一个人的事。其次，这个世界中的人在性别上，分男和女。你是男的。你逃不出这两者之一。这说明什么，说明你是这个世界的一部分，你是有原始的权力和资格，来参与这个世界繁衍和发展。再说明白一点，就是你有可能有机会有理由，通过社会化的方式，满足自己的性欲望。这种可能，其实是很简单，很容易，不奇怪，不突兀，不需要你隐藏的。既然有可能通过正常途径，满足自己，那何必走向社会的对立面，何必冒着杀头的危险，去做风险更高的事呢？然后，我想到一个问题。就是你的欲望延时满足控制方面的问题。如果，你不能控制自己，只能通过短平快的方式得到满足的话。那基本上，你会一事无成。能控制自己欲望的人，可以延迟满足自己的人，才会有做大事的智商和能力。原始人一样的方式，只能让你满足自己很低级的欲望。你作为男人来说，也会只是很低级的男人。所以，你的问题应该是：如何提升自己的文化素养，提升自己的思想境界，提升自己控制欲望的能力。这才是你当前发展，所必须解决的问题。不然，必将受到社会的无情碾压。在监狱里，强奸犯也会被其他犯人唾弃。连自己最基本最原始的欲望都控制不了的人，就是牲口一般的存在，毫无灵魂可言。无任何团结的价值，那我今天苦口婆心的话也就当是对牛弹琴了。你说呢？祝好
恋爱中情绪偏激如何调节？我甚至怀疑自己有家暴倾向，男生，23岁，和女朋友恋爱中发生多次不愉快，习惯性认为对方太作，扭头就走、言语上讽刺或是消极回应，例如和你有什么关系呢，我的事不用你管是她的惯用行为，我特别情绪化，每次看到或听到她如此般的行为，渐渐心生怨恨，我一直搞不懂到底是不是我太过于自私，至此两人一吵架开始互相对骂，谁也不服谁，我气得也是又拿拳头砸墙又是打自己，气不过再喝两瓶酒，吃东西就使劲给自己塞，一边做这些事一边气呼呼的流泪，我甚至严重怀疑自己有家暴倾向，我该怎么解决自己的问题？请大家帮帮我。,"题主你好，见字如面。非常理解你的心情，首先我想给你一个用力的拥抱~看完题主的描述，大概的问题方向我总结了几点:认为对方太作，自己又容易因此敏感两个人彼此之间谁也不服谁只能通过伤害自己来发泄情绪，怀疑自己有家暴倾向对方行为的背后，究竟藏着什么一般而言，我们每个人的行为模式背后，都会藏着我们既往所经历过的事情，比如家庭的影响。在《在关系中成长》一书中曾提到，当我们进入“家庭原型”去寻找自己行为模式和思维模式的成因时，我们就会发现，过去有哪些情结导致了当下我们对他人、对关系的误解。女友扭头就走，说“和你有什么关系”“我的事不用你管”之前发生过什么事情呢？或许是她认为，你对她产生的一些需求让她产生了一种回到过往的错觉。人在面对不太美好的体验重现时，会下意识地开启防御机制。所以在女友产生这样的言语讽刺过消极回应时，先给彼此一段时间，不必过于敏感。然后再进行沟通，势必要表达清楚你对她不是命令或对她产生威胁，你只是在和她表达关心。两个人彼此之间谁也不服谁大概两个人都是有这样一种骄傲的:觉得无论如何都不能在恋爱中服软，要不就是失去了自尊。但是感情本身是需要经营和维持的，它不是用来赌气的筹码，也经不起一再的消磨。所以如果还想要继续这段感情，不如先退一步，有时候就是自己把自己架在了一个进退两难的处境，因为不肯示弱，害怕自己不是和你势均力敌）。有个人先退一步，另外一个人可能就会同样后退，问题先不谈，但至少两个人都能走真正冷静思考的时间。退一步不是服软，只是总有人需要为打破僵局做出付出。伤害自己来发泄情绪题主的暴力倾向，其实不必太过介怀，这未必就是家暴倾向。只是题主没能找到一个好的发泄情绪、解决问题的方式时，人就会下意识地采用自虐的方式减轻内心的负担。最关键的原因，还是在于如何处理和女友之间沟通的问题:不带任何评价地描述目前女友的行为，然后表达出你的感受，在提出你的需要和请求。比如你今天对我说了一句话，让我不太高兴，因为我希望我对你的关心可以得到回应，所以请你下一次能够回应我，当然可以适当变通。但最主要的是，不能一味停留在评价这件事情对还是不对，要去体会对方的想法和表达自己真实的关心。如果目前没有办法，那么就选择和朋友倾诉或者把努力发泄在锻炼身体上:跑步、短时间大强度的无氧运动等等，情绪需要一个通道，心理上无法抒发，就先从身体上开始。希望题主和女友能够幸福快乐~一个希望能温柔世界，也给自己肆意生长的时间的小蘑菇。"","
16岁女生，感觉自己有暴力和自虐倾向？平常我不容易生气，但一旦生气起来就会很夸张，难以控制，尤其是最近一年，一生气起来就会各种摔东西，最严重的一次是自己在家，把家里大半的电器家具都砸坏了。还有，有时候弟弟惹我生气，我就会控制不住地殴打他，下手很重的那种，我爸妈都快拦不住我了。。但每次发完火都会觉得很羞愧很自责，甚至会有自残的行为。我是不是该去医院看看了？我怕再这样下去会发展到伤害其他人的地步，我该怎么办？,你好，可能是因为你平时经常压抑自己的负面情绪，然后积攒多了就会爆发，从目前的症状来看，至少是有明显的抑郁倾向，可以考虑去医院精神科或者心理科看看，然后遵医嘱坚持做心理咨询甚至可能要坚持服药了，另外我想说的是，把怒火发泄到比自己弱小的人身上确实不好哦，其实可以有别的很多合理方式来发泄情绪的啊，比如倾诉，咨询，运动，唱歌，旅游等等。世界和我爱着你，祝好。
反社会类型人格会遗传吗？我父亲大概就是一名反社会类型人格，幼年时期他还经常家暴我妈，但是他总是一点愧疚感，一点良心都没有，家暴我妈总是因为一点点事比如没打扫卫生，而且总觉得是我妈的错，甚至在我长大后还当着我面骂我妈，也有因为一点小事打过我，但是我感觉这种东西会遗传吗？我不在他身边长大，不会像他一样易怒打人，但我经常有打人的欲望，容易发火但是能控制藏起来，经常在脑子里想怎么折磨一个人，我爸打我的时候我甚至在想怎么打回去，怎么让他生气，我不想自己跟别人一样，讨厌别人，莫名因为一件小事就会在脑子里破口大骂甚至恶狠狠诅咒一个人，我不会对什么人起同情心之类的感情，总把自己的错加给别人，总认为是别人的错，我也经常破坏规则，和别人反着来，我身边的人总是指责我没良心，我很讨厌自己，非常非常讨厌，经常有自我唾弃自残轻生的欲望，我算反社会类型人格吗？我很能装，就像我妈说的跟我爸一样一张嘴能说，有什么办法改变现状？,"题主能在这里求助，这是一种对自己的行为负责的一种表现。也可以看出题主具有很好的自我反省的能力，这跟你父亲有本质的区别。所以，我觉得你不太会成为像你爸爸一样的人。与其说反社会人格会遗传，我更同意“原生家庭影响人的性格”这样的说法，但是这样的性格是可以改变。在这样的家暴环境长大，对你的负面影响很大，导致你的人格还没完全发展好，所有就有很多矛盾和冲突，如果可以的话，可以尝试心理咨询，使人格得到统一。但是可能需要比较长的时间。以下简单分析一下吧！※我爸打我的时候我甚至在想怎么打回去，怎么让他生气这是一种正常的防御机制，这种防御是自我保护，哪里有压迫哪里就有反抗。小时候，眼睁睁地看着你爸家暴妈妈，家暴你，你对你父亲带有恨意，很正常！这是你内心的正义感，我觉得是应该的！不知道你多大？只是不建议暴力解决问题。※莫名因为一件小事就会在脑子里破口大骂甚至恶狠狠诅咒一个人。如果被冒犯了、被不公正对待，正常人都会生气，骂人就是一种表达生气的方式，但实际上你并没有动手打人，你内心的善良还是占主要的。我相信，从小就看到爸爸动手打人，你的内心一定非常痛恨不正义的行为，并设想能够维护正义。这也是你改变的动力。※感觉自己不会同情别人※总把错误加给别人※和人反着来※被人指责没良心我不觉得你不会同情他人，我觉得是你还没学会怎么表达同情和怜悯。因为从小就目睹爸爸打妈妈，你想帮妈妈，但是你实在太小了，所以习惯了把愤怒压抑，也把对妈妈的同情压抑。而且，从小看多了暴力行为，会使你对他人充满防御，难以信任他人，难以相信这个世界是充满爱的。别人一点冒犯，就会启动防御和敌意情绪。久而久之，你就习惯了压抑自己的真实想法，给人感觉就是没有人情味，很冷漠。建议你从现在开始，练习表达你真实的感受，让自己的心软下来。继续探索自我，不断完善自己，相信你会变得越来越好！世界和我爱着你。"","
人生中的坎坷路，有时把情绪带回家，这情况怎么治？平时经常碰到一些不顺心，让我发毛的事。但又不敢真的向对方发飙！有时把这样的情绪带回家里，发到家里亲人或者孩子们身上。这样的情况需要怎么治,楼主你好呀~非常理解你的心情，其实楼主的情况很多人都会有，我们常常会这样，面对陌生人努力保持自己最好的一面，却把最坏的情绪留给了最亲的人。可以感受到楼主内心的苦恼，当自己把负面情绪带给家里人后，楼主认识到这种行为需要改变，但不知道应该怎么办。那么我们为什么会把最坏的情绪留给亲人？关系不同，家人更包容我们面对外人时，即便遇到不顺心的事也不敢发脾气，是因为我们和这些人有工作或是其他方面的联系，不想把关系弄得太僵，也不希望引起太多事端，会更拘束和克制自己。而家人会更包容我们，在家里我们更有安全感，可以尽情发泄自己的情绪，家人也不会因为我们的负面情绪而离开我们。对家人期待更高对于家人，我们有着很高的期待，相处的时间长久了，很多事情会觉得理所当然，也希望他们可以理解自己，然而现实中他们并不能做到自己期望中那般，因此也更容易爆发自己的情绪。而陌生人、同学、同事或是朋友，我们会觉得和这些人相处不多，可以接受他们不了解自己，对他们也有更多耐心。【一些建议】*正确看待与家人的关系，将工作和生活分开*虽然家人会包容我们，但每个人的容忍都是有限度的，如果总是把负面情绪带给家人，只会让你们的关系越来越疏远。工作和生活本就是两个不同的部分，工作上的事情和情绪需要及时排解，在家里你有另一个身份，不是公司职员，也没有工作的压力，你要面对的是家人。正确认识和家人的关系，理清工作和生活。*找到合适的方法释放情绪*楼主因为在工作中积累了一些情绪，但又找不到方法释放，于是选择了发泄在家人身上。楼主可以寻找一些其他的减压方式，去跑步，去骑车，去健身，去唱歌或者吃东西，做一些让自己放松的事，及时让坏情绪释放出来。*改变自己的心态，更理性地看待问题*每个人都会出现有情绪的时候，但一件事既然已经发生了，一味地生气或者愤怒并不能解决问题。可以试着改变自己的心态，去挖掘生气的原因，这件事是否值得自己生气？心态放宽，会发现很多事并没有那么严重，生活确实很难，但也一定有值得开心的地方，去发现生活的乐趣。理性地看待问题，去寻找解决的方法，直面遇到的烦心事，避免类似情况再次出现。祝楼主可以过得开心快乐。
最近分手特别难受，爸妈不知道，我只能自己偷偷的哭。我家有只狗心情特别不好，它一直动，我就想抱着它，我觉得它那样很烦，我就想打死它。脑子里不是这么想的，但是行为已经开始打它了，手都疼了，脑子里突然想到为什么控制不住自己，我就抱着我家狗哭，但下次它还那样我还是控制不住自己的行为,题主，你好，抱抱你呀～看了你的描述，你最近遇到了让你感到很难过的事情，或许你不太懂得如何发泄，真的很同情你的遭遇呢。根据你的描述，因为你最近分手心情比较难过，哭得很难受的时候会控制不住自己的行为。建议你感到难过的时候换一种发泄方式，假如你伤害了那些有生命有意识的个体，会使你的心情更加沉重。发泄是很有必要的，你可以采用更恰当的方法，比如去游乐场、体育馆放松，让身体运动起来，流汗促进新陈代谢，可能会有利于你身心放松。
听到猫一直叫叫到我心情很烦躁有点头晕想吐和难受想杀人的感觉有点精神失常,楼主说到听到猫一直叫，心情就很烦躁，有点头晕想吐和难受，甚至有想杀人的感觉，有点精神失常。猫的叫声可能确实会吵到你，但是我想让你烦躁的根源应该不是猫，而是压在你心底的那件事。虽然楼主并没有提及生活中的事情，但是我想你一定遇到过让你感觉到失控或者难以把握的事情，这件事情让你感觉很焦虑，很烦躁，不知道该怎么办。所以才会把这种焦虑转移到生活中的小事情上。建议楼主可以做一些情绪调节的活动，及时察觉自己内在的心理状态，把这件事情解决掉。也可以寻找他人帮助，这也许能够帮助你摆脱这种焦虑感。
"以前我特别特别特别喜欢小动物，但是除了爸爸喜欢，家里人都害怕带毛的动物，也不让养，养的时候妈妈会打骂它，我就护着。后来为了养一只猫跟家里吵架，因为我过敏送人了，从此以后我就讨厌小动物，它们盯着我看或者不听我话我就想打，它们害怕或者大叫我就更想打，伤到我我就想弄死它，欺负完后我又有点心疼以前我很招动物喜欢，现在小动物看见我就跑了（我还是想跟它们亲近的）"",",能体会你这种矛盾的感受，给你一个安慰的抱抱。●你很想和小动物亲近，会心疼它们，好，那你就不要欺负小动物，好好对待他们。●如果你讨厌小动物，内心想欺负它们，控制不住自己，你就不要养动物，不要奢望小动物会和你亲近，接受小动物见到你就跑的事实。●2选1，不纠结，这就行了。相信你一定可以找到自己喜欢的方式与小动物相处。加油。
"年少无知，沉迷网络世界，面对形形色色的诱惑，忽略了生活的其他，陷入了每日的粘腻的状态，难以自拔，也牵制了妈妈的自由，消耗了父母的财产，变成了家里蹲的存在，当母亲在外工作，那时陪伴我的就是网络，日子一天天消逝，身体的健康日益变坏，有天梦中醒来，肠胃抽搐，呕吐不止，终是没有去医院①回想那时，借用一句话，真是“既怕生又怕死”，浑浑噩噩地活着，自杀仿佛就是驱动力，一次雨夜中醒来，自顾自地出门，想找个地埋葬羞耻的自己，在周围走了个圈，感到寒冷了又走回去了。②有了份工作，过上了在公司的管理下的生活。③不时地有这样的困境，躺在床上看着网络小说，从夜晚到天明，会冲动性地泄欲，眼睛胀痛地留下了泪水，头痛昏沉，还在刺激自己，哪怕第二天装作无事人，洗个澡，表示性地忏悔下，过上几天比较平静地生活，痕迹还是留下了，像乞丐浑身污垢，没有希望地伸出手祈求他人的施舍，我的心灵有了明显的污垢，会后悔地去捐款什么的。"",",看你的描述这应该是一种成瘾行为，他满足了你很多的心理上的或情感上的需求。严肃的拒绝其实就是理性的控制和压抑。这种情感的需求是一种心理能量，心理世界的能量和物理世界的能量是一样的，都是守恒的。压抑并不能使这种能量消失，只能是越聚越多，爆发的话，杀伤力会更大。所以解决的方式还是替代补偿，比如悲伤的时候我们会哭，愤怒的时候我们会破坏东西，快乐的时候我们也会找人分享，如果你所有的这些情绪都用色情这一种方式表达。而且这种方式过度使用是有伤害的。所以你要正确的感受自己的情绪，并用合适的方式去表达这些情绪。而不是都用同一种有伤害的方式去表达。一个人之所以不能够正确的感受和表达情绪，可能和早期成长经历相关，比如说家长不能够接纳孩子的负面情绪，不允许孩子做真实的自己，家长没有共情能力等等。如果做不到正确的感受和表达情绪，建议通过咨询解决，要解决背后的原因潜意识的原因，行为才可以改变。
我自己在平常生活中遇到别人的欺负第一时间就会发飙把心情都表露在脸上，事后一个人的时候就会一直指责自己自问“是不是这件事是我做错了”双重折磨下，严重的时候我会用尖锐的东西伤害自己来使自己清醒。跟男朋友吵架的时候有时候气的喘不过气来我会忍不住用拳头打坚硬的地板打的自己手淤青为止。好像这两年出现这种情绪的时候更不能控制自己了？对了，我小学的时候，性格老实，总是受同学欺负也不敢吭声，是否有关联？后来青春期后脾气开始变得暴躁，也许觉得只有发脾气才能保护自己吧。好痛苦,"题主，你好，理解你内心的痛楚，先给你一个温暖的拥抱，从反馈的信息来看，目前在处理不开心、烦恼或者忧愁时，存在情绪化的表达方式，以及存在自我伤害的表现，难能可贵的是，你已经认识到这种做法的不妥之处，主动的寻求帮助，这是一种非常积极的心态。保持乐观，积极面对压力。其实在生活当中，不如意事十之八九，因此，在遇到不开心时，首先，在心里面要认识到，这是一种很正常的心理现象。避免过度的去解读，平常心去面对。接纳已经发生的现实，积极的去应对压力和困惑。调整一下心态，遇见更好的自己。在遇到困难或者问题的时候，大部分的人，内心都有一种焦虑的状态，如果我们保持平常心，在处理事情时，就会变得理性而从容，因此心态的调整，会带来自身的改变。换一种处理问题的方式，换一种心情。题主的表现，在处理负面情绪的问题时，容易把矛头指向自己，自我否定，做出一些自我伤害的表现，这种破坏性的疗愈行为，至少没有学会好好善待自己。可以试着去表达自己的问题，通过语言来倾诉自己的情绪状态，避免过分的压抑和否定，只要你愿意改变，一切皆有可能。我是有去缺点的，但是我不怕。我们每一个人都不是先贤胜者，因此，都会存在这样或者那样的不足，因此，面对自己的问题，要学会接纳和面对，一个并不完美的自己。避免对自己提出完美主义的要求，毕竟，理想中的自己和现实中的自己，还是存在一定的距离，是不能够画上等号的。积极行动，乐观面对。改变情绪的秘诀在于行动。情绪的改善，往往从人际关系的良性互动开始，不妨在生活中多接触一些积极乐观的人，从他们的身上，学习处理负面情绪的方法。群体的智慧，会让你感受到支持的力量，鼓励的力量，请你行动起来吧。希望可以帮助到你。"","
这段时间过的不是很好，感觉到像过山车。有时很疯，有时很失落。疯的时候同宿舍同学说是神经病。不开心时想划一划自己的手臂。,"你好~希望对你有帮助双向情感障碍，也称躁郁症，这是一种又躁狂或轻躁狂发作又有抑郁发作的一类心境障碍。表现:有时情绪低落，对一切都没有兴趣，精力不足，悲观又绝望等等，轻躁狂发作反应敏捷，睡眠减少，精力旺盛，不知疲倦，暴饮暴食，心率加快，注意力不能集中持久，容易受影响，一般人不易觉察。仔细看了你的描述，说这段时间过的不是很好，感觉到像过山车。有时很疯，很失落。抱抱你，因为没有过多的仔细描述，不好作出判断，如果之后还是越大感觉不好，心里不舒服，可以去做专门的心理诊断，帮助你作出进一步的判断，以便能够更好的解决你的困惑。“不开心时想划一划自己的手臂”，但是看到这里，觉得你可能遇到了很难过的事情，让你如此不开心，以至于要伤害自己，肯定很难过。这样的行为有些极端，建议可以尽快去寻求专业人士帮助，以便你能尽量快解决问题，愿你开心~祝好~世界和我爱着你！"","
"本人12岁六年级女生，前天自残用自己的美工刀在手臂上划口子，今天的疤不小心被我妈看见，当时我含含糊糊糊弄过去了，但怕以后再被发现。请问自残哪里不容易被别人发现？""","亲爱的题主你好呀~给你个大大的拥抱，不知道你是遇到什么事情，让你承受这么大的压力，以至于伤害自己，我想你需要的不是想办法怎样避免让家人发现，而是想想爱护自己。1、想想最近的负面情绪是因为什么原因或是什么具体的事件，不妨和家人、老师聊聊你的情绪问题，看看老师和家长有什么解决的办法和建议；2、保护自己，不管是遇到什么困难，都不应该将情绪发泄到自己身上，将自己可能用来伤害自己的美工刀拿开，不要给自己增加刺激；3、用正确的方法调节情绪，比如和朋友聊聊，做一些自己喜欢的事情，外出散步、运动，重新捡起自己的兴趣爱好等。希望你能尽快调整好状态，期待阳光的你~祝好！世界和我爱着你。"","
"大二女，减肥节食暴食后催吐，后来好转戒暴，最近学习压力暴食泻药，真的遭不住了。超过两个多月平均两天一次大剂量泻药【目前是说明书的30倍剂量，从一开始的正常成倍叠加起来的结果】，暴饮暴食让我体重剧增，胃下垂坠胀，嘴巴反酸，脱发，手指褪皮，睡眠心理障碍，嗜睡，不愿意面对自己，低自尊，这感觉真得及其恐怖可怕差劲糟糕，我真的需要帮助！"",","题主，你好！见字如面。阅读着你的经历，能够深刻体会到身体为你分担了大量的负向情绪压力。暴饮暴食，又催吐的难受感觉不是每个人都能经历的一种痛苦体验，你在这种体验里经历着害怕纠结、自我否定、糟糕至极的情绪，已经影响到了自己的学习与生活，真的很心疼你。【希望帮你梳理心理盲区来找到改变的途径】→外在形象审美不能完全代表你个人的存在价值。不知你进入大学后节食减肥的动力来自于哪里，总之用泻药催吐减肥的方式是非常不安全的方式。虽然“爱美之心，人皆有之”，但需要明白一个人的外在不等于自己的全部。即使自己可能有不尽人意的形象偏差，也需要用合理适度、健康安全的方式来进行改进。现在的你由于没有把持好心中的“度”，就会对外在自我形象出现认知扭曲。→对于你谈到由于学习压力带来的暴饮暴食和使用泻药，表现出你个人在疏导自我压力方面存在可能的逃避心理。由于无法面对学习的困境，或者来自于家庭的期待以及可能的同学竞争，用暴饮暴食和使用泻药，来关注自身体重转移对学习的注意力，让自己不用去面对压力的本质来源。→另外，对于泻药剂量的过度依赖，会造成自己在暴饮暴食和腹泻之间的恶性循环，最终形成对于自我否定的认同感。因为觉得自己不够好，所以要对自己更苛求，由过度使用泻药带来的副作用也就变成了内心的自我惩罚。【邀请与建议】①根据你的痛苦状态，非常建议你去专科医院心理科进行神经性进食障碍的评估诊断。根据医生的建议进行药物治疗、身体营养恢复及运动恢复。②建议你在自己的身体状态恢复有好转的前提下寻找专业心理咨询的帮助。对于自己由于过度减肥引发的情绪障碍进行咨询辅导。在咨询师的陪伴下，可以帮助你更好地梳理自己的成长经历中可能存在的自我认同感不足的心结，从而探索深层内心动力，让自己在对外在形象过度关注的魔咒中跳出来，发现自己真正想要追求的生活目标。③无论何时何地，都需要自我调整内心状态，对未来抱有美好的憧憬，让未来的自己帮助当下身处困境的你。学习在人生的风浪中冲浪的能力，让自己找回曾经的自信与阳光。希望我的回答对你有一丝启发与帮助，照顾好自己是你对这个世界最大的贡献，祝好！"","
