question,answer
"难受的要死还想到工作吃饭，我感觉在背叛自己？我早上刚发了一个提问，如果没有看到阳光，我本可以忍受黑暗。我难受的要死了，难受的快到死掉了，从昨天晚上到现在，我一直在求助，心里一直隐隐有个想要伤害自己的声音。我找倾听师，预约咨询师，我在这里提问，想有人帮帮我，帮我一起度过这段黑暗。想诉说，想寻找一束光。可是当我想到我还要要工作，我不吃饭胃会难受，就有一种背叛自己的感觉，好像隐隐有个声音说，我都这么难受了还想着去工作，我难受难受，你看不到么。我心里撕扯着，我觉得是不是给自己划两下才可以，喝瓶酒啥的，搞点伤害才好。我不知道怎么会有这样的声音，我感觉在背叛自己。我好难受，我爱的人把我删了，我一下被卡死在那里，像被嵌进墙里动弹不得，想说句告别都不能，想变得，想做什么都不行，别人已经拒绝了。自己这里又有了这样一个声音，我还能活下去么"",",给楼主一个拥抱！能够感觉的到楼主内心的压抑愤怒焦虑纠结痛苦。一边是自己难受的想死，另外一边是想工作吃饭，很明显潜意识自我和意识自我之间存在着的剧烈的冲突，潜意识自我的“力量”非常强大，已经要超出意识自我的“控制范围”，可见楼主内心压抑的情感情绪非常多，以至于对意识自我产生这么强大的“冲击力”。对于一个久处“黑暗“的人来说，已经熟悉习惯了黑暗带来的一切，尽管黑暗会给自己带来很多不便和难受，但自己还可以承受。就像楼主说的那样，如果没有看到阳光，自己本可以忍受黑暗，相比之下，阳光对黑暗形成了强烈的刺激，在某种程度上也打破了楼主对黑暗的“忍耐忍耐”，而强烈的想要追求“阳光”的生活。“我难受的要死了，难受的快到死掉了，从昨天晚上到现在，我一直在求助，心里一直隐隐有个想要伤害自己的声音。我找倾听师，预约咨询师，我在这里提问，想有人帮帮我，帮我一起度过这段黑暗。想诉说，想寻找一束光。可是当我想到我还要要工作，我不吃饭胃会难受，就有一种背叛自己的感觉”。看到楼主这段话的时候深深的感触到楼主内心对阳光美好生活的强烈渴望，同时内心深处还有一道看不见的“绳索”在束缚着楼主不可以去追求自己想要的阳光美好生活，内心这样的冲突纠结。别说是楼主了，估计换成是任何一个人都会很难接纳认可承受，都会非常痛苦。对楼主的意识自我来说，能够意识到不吃饭肚子会饿，饿了胃就会难受就没办法工作，不工作自己就没钱吃饭，需要让楼主吃饭工作，这可以说是楼主意识自我的需求。然而这样合理合适的需求对楼主的意识自我来说，却是对自己的背叛，也就是说楼主的潜意识自我需要让楼主饿着肚子让楼主难受，或者说这样可以让楼主的潜意识自我感觉能够获得关注和关爱，会比较安全踏实安心。当让自己难受无法获得想要的关注和关爱的时候，潜意识自我会本能的把这种难受“升级”，让自己更难受，比如楼主想要划自己两下喝点儿酒伤害自己等等，这些都是楼主内心压抑的情绪在跟楼主的意识自我“对抗”，它想要获得满足。再加上楼主的感情受到挫折，内心对自我的否定更加深入，内心的压力更大，更加焦虑恐惧无力无助，也导致冲突更加激烈，出现了楼主现在的这些困扰。通常这样的情况是跟个体成长经历当中的原生家庭环境有很大的关系，尤其是跟父母之间的关系，缺乏足够稳定和谐的亲密互动。楼主现在已经是成年人，不再是从前的那个小孩子，具备了很多成年人独立自我的能力。可以先接纳自己的这些困扰，把内心压抑的情感情绪释放出来，比如写在纸上，或者是喊出来吼出来，也可以运动跑出来跳出来，也可以考虑预约合适的老师接受系统心理咨询。
我割手腕了，明天还要上学，怎么遮住？......我失眠了...最近总是莫名其妙的哭，对什么都不感兴趣了。。。感觉好累,"楼主，你好~~~先给楼主一个抱抱，从描述中可以了解到1.感觉疲惫，自己对什么都不感兴趣2.存在自残行为，明天上学不想被别人看到【一点点分析和建议】1.楼主现在是不是遇见了非常困难的事情呢？或者说长期过着单调的生活，每天上学下学，父母对自己也不够关心，只在乎自己的学习，感觉生活中没有谁爱自己呢？产生悲伤或者痛苦的感受，无论是因为什么，都是可以理解或者合理得，人本身就是由喜怒哀乐组成的呀。2.但或许楼主可以悄咪咪地把自己的心思和难过的事情全都告诉信任的朋友和家人，如果没有信任的人，那就写一本日记把自己的心情都告诉纸和笔。说出来，楼主就会感到好受一些了呀。希望对楼主有所帮助。"","
昨天晚上，我正在看这电视剧准备睡觉。我突然有种冲动想要用刀划自己（伤口不需要很深就是能不停流血就好），我特别想看到自己流血。我从小都有不定时的喘不上气的感觉，胸口感觉被堵住了一样。我忍了很久，喝了点酒，因为和我妈住在一起所以我忍住没有抽烟，我又去吃了点褪黑素。但是不太管用，我忍了三个小时最后一直躺在床上，我一直在想我妈如果看见我受伤了会很怎样...最后可能是太困了就睡着了。,楼主你好，看了你的描述很心疼你，从小就会有生理上的不适感，对于这些不适感在成长的过程中似乎只学会了使用喝酒抽烟的方式来缓解，到目前来看还想用伤害自己让自己流血的方式来处理内心的冲突，对于这些问题，我们可以一起来探讨一下，并从中找到更适合的解决办法吧。问题分析：*1.有用刀片划伤自己的冲动楼主你说[我一直在想我妈如果看见我受伤了会很怎样..]看起来，似乎你与母亲的关系不太理想，以及从小都有喘不上气、胸口被堵住的生理不适感，是否有去医院排除过病理性的原因呢，或者说更多的这样的身体上的不适感是由某些无法及时处理、凭自己的力量也不会处理的情绪引起的。对于想用刀片划伤自己行为，表现出楼主想要把内心的冲突和受伤，通过伤害自己的外在的形式表现出来，痛苦埋藏在内心以至于母亲看不见、不理解，想要把痛苦在身体上通过伤口的形式显化，引起母亲的重视，通过这样的手段来获得母亲对你的痛苦的关注。*2.引起身体不适感的原因这些年来，在喘不上气、胸闷堵塞感发生前，是否有着一些事件的触发引起你无法向外界发泄消极情绪，不敢表达自己的真实想法、只能忍耐和退让，以至于让这些消极情绪带来的负面能量无法流通，长久以来的情绪积累形成了内心的冲突，将攻击性转向了自己，这些冲突用躯体的不适来呈现着你的痛苦。*3.尝试与母亲有效沟通由于楼主没有过多关于与母亲相处的描述，想让自己受伤让母亲看到，想知道她的反应上猜测，你把母亲看得很重要，但似乎缺乏有效的沟通，也许沟通过也没有得到自己想要的效果，所以选择这样极端的方式来尝试与母亲建立情感上的连接。用伤害自己的方式来获得关注自然不可取，楼主需要尝试表达自己内心真实的感受，把那些无法流通的情绪背后的想法表达出来进行疏通，试试看不压抑自己是否也能得到想要的结果。一些可行的小建议：1.在了解到这种伤害自己的冲动，是源于想要把内心他人看不见、又不能很好的被自己的处理的痛苦，想要用肉眼可见的伤口显化出来的一种想法，当你能够辨认你这种行为背后的动机后，就能把伤害自己当做目标的想法转变成安抚自己的内心的行动，开始接纳自己就是疗愈的开始。2.楼主也可以去尝试做专业的心理咨询，配合正念冥想，将自己难以处理的情绪用科学和积极的方式进行消化分解，在自己面对糟糕情绪束手无策时，冥想练习可以很好帮助到你。3.思考与母亲的关系，与母亲进行有效的沟通，在任何情况下不论是母亲还是他人，在对方做了一些令你不愉快的事情时，你可以表达自己真实的想法来保护自己不受伤害，同时给出对方改正的建议，意识到并非只有靠忍耐才能将一段关系进行下去。祝好。
"有负面情绪时，或者是觉得自己做得不好的时候，愤怒的时候，就会想要打自己，脑里也浮现出如何打自己的场景，这是为什么，是因为我怨恨我自己吗。"",",人在出现愤怒情绪时，很容易有攻击的冲动，以此来宣泄愤怒情绪。可能是对外攻击，就是攻击别人，也可能是自我攻击，比如你说想打自己。特别是当你觉得是自己做得不好时，对自己产生愤怒，就想通过攻击行为来宣泄。说到底，就是你在面对负面情绪时，还不太懂得如何管理和排解，只会使用攻击的方式。所以可以学习一下如何管理自己的情绪，寻找一些积极正向的宣泄方式来排解自己的负面情绪，让它们得到合理的宣泄。******可以了解一下“情绪ABC理论”，重新理解愤怒情绪是如何产生，该如何去面对。情绪ABC理论的含义是：发生某件事并非是直接导致我某种情绪和行为的产生，而是我们对这件事的认知和信念所导致。A=事件B=认知、信念C=行为后果当发生某件事，如果我们对它进行积极的评价，在认知和信念上能够积极客观地认识它的意义，我们的行为和情绪也会相应地表现得积极正向。比如，当有某件事你没做好，如果你认为自己能够在失败中获得经验，重新学习和尝试，你就不会对自己感到懊悔、失望和愤怒。但是如果你觉得没做好，会影响你的面子和某些利益，不可原谅，你自然就会感到愤怒了。因此无论发生什么事、你做得好不好，只要你能调整和控制自己的认知，积极地去看待，就能够避免负面情绪和攻击行为的出现。这需要你自己多加练习，改变思维模式和认知。******另外，也可以通过其他一些积极方式来排解负面情绪。比如，运动、看书、冥想、画画、心灵书写等。运动方面可以尝试一些合理攻击性的运动，比如球类、拳击等。心灵书写则是记录下你的情绪和感想，自由地书写，让当时的负面情绪能够得到排解宣泄，也能让自己冷静下来，以后再进行回顾，慢慢地学会面对和管理自己的情绪。
容易暴躁只有自虐才能冷静，怎么办？总感觉身上有虫在爬到处都是睡眠困难特别容易暴躁如果压抑着就控制不住的手抖手麻说不出话然后咬自己才能冷静下来现在又喜欢硬生生吞咽东西卡过喉咙的感觉之前有过这种问题频繁洗手自虐会解压但是自我疏解好了最近又出现这个问题,"题主你好呀~看到你的描述很心疼，先抱抱你~可以理解你现在的心情，在生活中容易暴躁，不知道怎么控制，于是通过自虐来减压，并且这个问题调整好后还是会复发，内心感到很苦恼。【一些建议】如果严重，咨询专业人士，进行相关治疗楼主说这种情况自我疏解好了还是会再次出现，并且发作时如果压抑，会出现一些生理反应，控制不住的手抖发麻，说不出话，通过比如咬自己的自虐方式才能冷静下来。如果楼主当前的情况比较严重，建议及时咨询专业人士，找到问题的根源，接受治疗。寻找其他方式发泄，善待自己自虐是一种发泄情绪的方式，用伤害自己的方式获得短暂的快感，从而让自己能够冷静下来。但自虐终究不是上策，会对自己的身体造成很大伤害，留下一些伤痕，也会让关心在意你的人心疼。去寻找一些对自己伤害小的发泄方式，比如出去跑几圈，去健身房健身，或者去一个空旷的地方把心中的烦恼喊出来。总之，去做一些能让自己放松的事，不要拘泥于当前的状况。冷静的时候自我反思当你没有这种暴躁情绪的时候，冷静地做一个自我反思，分析为什么会出现这种情绪，是由什么因素引燃的，是因为心底积压的负面情绪太多，当前生活面临的压力太大，还是因为一些其他的原因。总结暴躁的根源，在平时做出调整，多一些冥想，看书，旅行，结交一些朋友，让自己的心态得到根本的变化，让自己过得开心一点，防止暴躁情绪的出现。情绪的爆发反应的是一个人的内心，只有对自己有了清晰的认知，接纳自己，才能更好地解决问题。祝楼主可以摆脱困扰，拥有良好的状态~。"","
如何拯救我被情感应激后自虐式自慰成瘾摧残的身心？‌大家好！我是23岁有双向情感障碍的女生。我想谈谈性教育缺失和自慰史。中考失利触发的焦虑让我想要毁灭自我就染上了自慰。高中后依然无法适应校园环境改变自我的痛苦后总是用自慰来麻痹自我就更自闭。大学休学后在家约网友打发寂寞，后由于不受控制跟男神表白他说喜欢经验丰富的女生我觉得他暗指我太过保守不够开放。于是在痛苦和麻木中和网友约炮之后交男朋友想洗清过去但并不真正爱他，想到自己出血过且应该不是处了，因为欲望而受情感挫折后不想珍惜身体，更想放弃他人选择自慰。后来攒钱买工具自慰但被无知父母扔掉，于是更不受保护用水果甚至油瓶自慰，由于自小的性虐幻想恋痛人格和霸总网文的欲望及因男神说我的身体是他的，我就想要用自己的身体报复因他导致精神与身体分离。后来情绪失控自慰致尿道感染，自以为是阴道炎找妇科检查后感觉自己阴道更松弛，做恢复运动又立马自慰又导致松弛和感染。面对身体和心灵的双重痛苦我该如何戒除成瘾拯救身心？,给楼主一个拥抱！能够感觉的到楼主内心的压抑焦虑冲突纠结，个人觉得楼主的这些困扰都是在受到事件刺激之后引起的一系列自我否定和伤害的反应，可以尝试着从源头开始寻找答案。中考失利是最早出现的刺激，触发了楼主内心的焦虑情绪和想要自我毁灭的意念，让楼主染上了自慰，在这里有一个很明显的“有意思”的问题，楼主的自我毁灭的方式是自慰，是和性行为有关的，间接税的指向也就是说“破坏““接触“性器官是在伤害自我毁灭自我，这就很耐人寻味楼主的这种认知是从哪里来的。中考的时候，楼主的年龄大概在十五岁左右，刚好处在青春叛逆期，生理发育接近于成熟状态，心理发展处于“半成熟”状态，身心发展不平衡本身会带来一些焦虑感。考试失利让楼主内心焦虑增加想要自我毁灭，可见楼主的内心对考试非常在意，对考试抱着非常大的期望，无法接纳自己的考试失利，内心比较偏执，或者说这也是导致楼主患双相的重要原因。至于后面的事情同样也是一系列相类似的反应，楼主伤害自己的方式都是和性行为有关的，同时这样伤害自己相当于是楼主在“惩罚”自己，满足内心自我的需求，让自己可以安心一些。再加上做为成年女性有自我的生理和心理情感需求，需要通过性来满足，这样也就让性具有了双重满足的意义，也就很难让自我分的清楚到底是怎么回事了。而性行为，同时也指向另外一种伤害，威胁性侵。因此，就要考虑到在楼主的成长经历当中是否有过这样的创伤性经历，看到过或者是听到过和性行为有关的事情发生，尤其是在年龄比较小的时候，对这样的事情缺乏足够的认识了解，受到的影响更深。因此，要解决楼主的这种困扰，就要更深入了解楼主的详细情况，建议楼主预约合适的老师接受系统心理咨询，生理方面有问题可以先解决生理方面的问题，同时做心理咨询双管齐下，释放楼主内心压抑的情绪，修复内心的创伤，一步一步帮助楼主恢复到正常生活状态，可以轻松自然的恋爱生活。
哭的过程中突然浑身发抖止不住说话结巴重复一句话，这几年每天都会哭会难过自杀过有自残行为今天哭了一晚上到刚刚的时候突然失控了浑身发抖止不住发抖然后说话的时候结巴会重复一句话,题主你好这几年，每天都会难过，会哭，甚至自残，自杀，那你是否有做点什么，来改善这个问题呢？是否有想过求助呢？家人是否了解你的这些情况呢？如果没有，建议你先和家人商量一下，然后让他们带你去看看心理医生。你要知道，你并不是一个人，你这么难受，这么痛苦，你不需要一个人孤独的扛着。你说，哭了一晚上，突然失控了，浑身发抖，我想，长时间的痛哭，长时间沉浸在极度痛苦的状态下，是很有可能导致这样的情况发生的。你每天都哭，持续了几年，你自己是否知道，自己的痛苦到底来自哪里呢？有人说：不知道情绪从哪里来，也就不知道要往哪里去。所以，可以先找一找源头，解决了源头的事件，才能更好的管理情绪。哭，虽然也可以是一种情绪发泄的方式，但是你每天哭，对于你痛苦的缓解，是否有帮助呢？如果没有帮助，甚至带来了更大的痛苦，也就说明，你需要换一个更好的方式来缓解痛苦。所以，尽快的去看看心理医生吧，专业的治疗，会对你有帮助。抱抱你，世界和我爱着你！(^_-)。
"19岁，女，大二大约有一两年？最多三年的样子？情绪容易失控，经常很烦躁并且有时候有轻微头疼，易怒，易哭(打小就有泪失禁)，会因为睡觉被吵醒然后痛哭暴躁砸东西(以前也有过起床气，只是不想理人)，变得沉默不想说话，有自残自虐倾向，喜欢看伤口流出的血，会觉得很兴奋，喜欢看悬疑剧血腥画面获取快感，喜欢解剖书或法医用书的尸体图，有幻想S人揍人，有幻想30岁跳楼怎么死，有幻想自己的葬礼和遗嘱。学的专业平时比较忙，而且于我个人而言比较难，经常会因为烦躁而学不进去东西，对事情也显得很烦躁"",","你好，很高兴接受你的分享，对你能敞开心扉看待问题给你点赞！我的分析：首先能看出你的焦虑的表现，诸如情绪失控、烦躁不安、演变沉默不语，甚至萌生自虐现象，对于这些现象你已然记不能清楚的说出时间段，对此我分析这是你近期萌生的心态居多，前面几年只不过是你记忆刻意演绎的片段被你美好的串联了；我的建议：1⃣️源于生活，回归生活你的焦虑可能来源于生活的各个方面，目前你是在校大学生，生活学习中每天充实着无非是学习与生活的两种节奏，对待社会你目前尚处于懵懂阶段，由此造成你焦虑的可能就是日常生活关系处置，学习状态的调整，切入点就是来源于这两方面；2⃣️放慢脚步，静听岁月能看出来对于所学专业你是明显不感兴趣的，这也是造成你焦虑的大部分原因所在，一方面憧憬的专业与未来发展的取向，一方面暗自神伤，对所学专业偏见油然而生；社会环境的复杂多变是人类不能完全预测的，例如今年的疫情出现，是全人类所臆想不到的；时代赋予我们的责任是顺势而为，脚踏实地，我的建议：放慢脚步可以从生活点滴小事做起，例如起床给室友一个微笑，对着镜子微笑的刷牙…锻炼自己发现生活美好的能力，周末可以选择去人多的欢乐园，走进人群去体验生活的美好…从小事做起积少成多，你会发现不一样的自己，加油。"","
我重度自虐型人格，有被这个人格严重操控的人吗？我已经自认不正常了特别不正常重度抑郁的来源以前是无意识的在友谊间和爱情间找虐甚至刻意破坏这种感情这种伤害让我感觉是正确的我永远热爱做受虐的那方不是偶尔发生是一直一直一直根本停不下来在无意识的行动中悄悄的使自己的人生越走越极端,楼主好，看了你的描述，很心疼你啊。给你一个大大的拥抱，传递一些温暖。你的问题是“自认为不正常，特别不正常；重度抑郁；热爱被虐且无法控制；人生越走越极端。”那你有没有分析过发生这个结果的原因？不知道你几岁？有过怎么样的经历？凡是有因必有果，有果也是有因可寻的？建议你一是接纳自己。接纳自己的现状，给自己一个拥抱。当你无法感知到别人的爱时，你可以选择爱自己。不管自己是个怎么样的人，先学会自爱。得抑郁症很大原因是自责，自我攻击，觉得自己不配得到爱。所以选择爱自己，接纳自己是疗愈的地一步。二是寻找原因。你可以让自己休养调整一段时间，梳理一下问题发生的原因？是原生家庭带来的伤害？是工作中的压力？还是情场的失意？你可以把它写下来。写下来也是一种宣泄，有利于情绪的调整；更有利于分析到底是谁的责任？不是你的责任你无须承受。记住“永远不要让别人的错误来伤害自己！”如果已经造成了伤害，你要学会止损。用萨提亚的“空椅子疗法”解决。也即找一把空椅子，把它想象成是对你造成伤害的那个人去宣泄。宣泄完了，你会感觉比较轻松的。三是寻求帮助。（1）是看医生。从你的描述中感觉心理问题比较严重，你应该寻找合适的心理治疗师治疗。如果是重度抑郁建议住院治疗，最起码是药物治疗。单靠心理调节难度比较大的。(2)取得家人的理解和支持。（3）寻找相应的社团抱团取暖。推荐你关注郁金香阳光会，微信号是yjxygh，全国最大的抗抑郁公益组织。里面有许多有益的资讯可以参考，也可加入微信群聊天。以上是我的一点建议，希望能帮到你哦。加油！世界和我爱着你！
"丈夫不到30岁，我该怎么面对爱自残的丈夫？我的丈夫今年不到三十岁，他性格敏感细腻内向，和我相处的两年中，他多次因为鸡毛蒜皮的小事和我起冲突，我认为可以大事化了小事化无，他却要让事态发展到很可怕的地步，他起初会自残，是很可怕的自残，会吐啤酒瓶碎渣子、拿刀扎腿和后脑勺，抓伤自己的眼睛等，而且还会乱砸家里的东西。我越来越害怕，我不知道怎么去避免和他起冲突，每天一睁眼如履薄冰，我现在二婚刚结一两年，实在没办法再次面对离婚，所以因为他这样的状态，我也一直没要孩子，可是过下去也很痛苦，看到自己心爱的人如此不珍惜生命自己心爱的家总是被他砸得稀碎，我也非常绝望，离开他我又无法承担社会舆论也无法独自承担房贷压力，我该怎么办啊愁死了"",",题主你好，很理解你的烦恼感受。不过现在来看，你丈夫的情况目前还没有那么严重，他的自残行为基本上还都是面对事情时的一种冲动表现，而非长期自发性的行为，显然并不像那些寻求自虐的刺激而自残的人，所以还是有希望解决的。可以看得出来你还是很爱他的，不愿意见到他这样伤害自己，同时他的行为也给你带来了很大的刺激，继续这样下去，确实对你们的关系和彼此的心理健康有着很大的破坏影响。从你丈夫的行为可以看出，他的性格比较偏激，一来情绪很容易失控，很小的事情可能也会让他的负面情绪瞬间放大；二来他的负面情绪极易导致极端行为，说明他的内心需求更强烈，更需要通过极端的表现来引起注意。自残很多时候是一种发泄，当内心压抑了太多负面情绪无法纾解的时候，而采取的一种极端行为。为什么会这样？就是因为通过正常的途径和方式已经没有办法宣泄自己的情绪，也没有办法满足自己的需求。而自残又分为两种，一种是自己躲起来偷偷地自残，一种是在别人面前自残。前一种是为了向自己寻求纾解，后一种向他人寻求关注和妥协。想想看，当你们因为某件事意见有分歧，不能达成共识而开始争吵的时候，他是否很难通过正常的表达让你认同？是否他的成长经历中很少得到认可和肯定？他是否很少向你表达自己内心深处的渴望和恐惧？他是否在自残或者破坏之后，会感到懊悔和痛苦？如果是的话，就要更深入的去了解他的内心，让他知道你对他的关爱，让他敞开心扉，向你展露他不曾被满足的需求和顾虑。当你知道了他心里真正需要的、真正害怕的，你就知道他问什么会这样，你就可以理解并接纳他，就可以给他积极的回应，去抚慰他最深层的情绪。让他感受到新的情绪体验，并与你开始新的互动模式。这样重复的去体验新的关系模式，他就会慢慢感受到被理解和被认可，情绪得到及时的纾解回应，就不用再采取极端的方式了。
15岁女生，最近两个月，为啥总是想用小刀划手腕？最近总是想好好放松的睡上一整天，每天都感觉很困，总想在身上弄点伤口（能流出血的那种），有的时候发着呆就突然哭了，我也说不清楚哭的原因，就是很委屈，我是不是有什么问题啊？,"题主你好15岁，应该还是学生吧，目前应该还是暑假阶段，如果想放松的睡上一整天，不妨试试看。感觉到困，或许是身体上确实累了，先好好休息休息试试看吧，或许能稍微感觉好一点。也很有可能，只是你心理上的累，休息一整天也并不能好转。而且你还有想自残，容易哭的问题，我觉得，你现在可能处于很压抑很难受的状态，如果你自己并不清楚为什么会这样，建议去寻求专业的心理帮助。可以和你的家人商量商量，让他们带你去看看心理医生，或者心理咨询师，在他们的帮助下，好好的去探索探索你的内心世界，看看到底发生了什么，你感受到的委屈，到底是因何而起。当你有自残的冲动的时候，可以尽可能的做点事情分散你的注意力，或者走到人群里，或者找身边的人聊一聊，尽可能不要自己独自待着，可能会越发的沉浸在这样的情绪当中，越陷越深。既然你能来到这里提问，说明你还是有着很强的改变欲望，也相信你能理性的应对自己的冲动。抱抱你，世界和我爱着你！(^_-)。"","
昨晚一下没控制住又自残了，这次因为用的是刚买回来的刀，有点利，一共割了三刀都出血了，有两道止血半天没止住（现在已经止住了），但早上醒来胳膊很疼，又麻又疼，特别是靠近手腕那一刀这是之前都没有过的，而且之前出血量也没有那么大，甚至不怎么出血，所以完全搞不懂该怎么处理伤口，用清水把伤口清洗一下可以吗？（附带一句，现在身体特别无力，站起来就会跌回床上那种，也或许和我没吃早饭有关？应该不会有什么大问题吧？,"题主你好！看了你的描述，好心疼～你最好先起来吃点东西，然后去医院或者是诊所把伤口处理一下，包扎起来。自己处理不当，容易感染。自残是故意的非自杀式自伤，通常通过切割划伤自己或烧伤自己的身体的方式进行。根据它的定义，它是一种自伤行为，不包括结束自己生命的愿望；所谓自伤，就是为伤而伤，自我伤害就是其最终目的。题主为什么会自残呢？是心理压力太大了吗？一般自残是由各种各样的痛苦情绪诱发的。当伤害自己时，想要表达什么？1.可能想要摆脱一些东西，比如悲伤或抑郁的情绪、内疚的感觉、羞耻的感觉、无助的感觉、绝望的感觉。利用疼痛释放的内啡肽所带来的那一点快感从那些压迫性情绪中“逃生”。2.可能会出现现实感的问题，感到被空虚包围并难以确定自己的真实存在，觉得变得麻木，不再“真的活着”，伤害自己能帮助他们重新体验到真实感。3.有的人会感受到绝望，而那种绝望似乎只有用伤害自己身体的方式才能被那个人看到和理解；有的人感受到的是深深的愤怒，用伤害自己来攻击和控制那个亲近的人；还有的人似乎感受里只剩下深深的依恋，而伤害自己是考验和拉回亲密者的最后方式……️不管是因为什么，你都是在黑暗中苦苦挣扎。你不妨尝试一下，在你预感到情绪将要到达高点却又还没有到达时，用别的策略试试看，即使只会有一点帮助，那也是新的生活。世界和我爱着你～。"","
我在学校一直被霸凌我想以这种方式来缓解情绪事后霸凌者发现我自残的伤口后来耻笑我并且用指甲刮伤我。第一次自残时被父母知道后我就没有再自残了第二次是因为情绪失控了就连续割了十几刀并且哭了很久事后被父母捉去聊天当时我的心里压力很大这次自残也是因为情绪失控了没忍住并且在课堂上留了泪我憋着自己的眼泪跑到厕所去哭。回家后我拿粉底液来遮住伤口我瞒了我父母十几天结果现在被发现了我不知道该怎么回答他们。我现在该怎么办啊？,孩子抱抱你，校园霸凌事件频发，对受害者的身心造成伤害是一定的，及时的发现调整抚慰及时会慢慢恢复的。️你能在这里寻求帮助，我觉得你是智慧勇敢能做出改变的好孩子，被欺凌你选择自残，而不是状告学校、老师、家长，说明你是善良有爱的孩子，委屈自己向内伤害自己，告诉你孩子，道德的底线是不伤害他人，心理健康的底线是不伤害自己，首先爱自己，做好自我保护，不自残。️寻求他人的帮助依靠，学会依赖别人的力量保护自己是心理健康的开始，你的恐惧心理，怕给别人，老师、家长添麻烦的心理，限制了你的言语和行为，遇到问题练习大胆表达，寻求权威有力量的大人的帮助，首先遇到再委屈的事也不要再伤害自己了，有这个想法的时候，运动打球跑步看书，把球当成那个不爽的人狠踢，转移注意力，不把自己静静地封闭起来，走出去寻找自己喜欢的事情做也可以美餐一顿。️不自责不羞愧，遭遇霸凌不是你的错，不污名化自己，不自信自卑窝囊等定义自己，成长路上就是有风雨有欺凌，遭受挫折和欺凌，锻炼了自己的气度和忍耐力，从长远来看也是一笔人生经历和财富，要从积极的一面看问题，多给自己做加分项，善良、健康、语文好等，不一味沉浸在负面情绪和事件中，遇事不怕事，也不惹事，只要不杀人放火，其他事都不要怕。️接纳自己的优缺点，爱上自己，你是独一无二的存在，记得阿姨的话，不要自残寻求帮助，不要担心惧怕报复，不过度思虑后果。️世界和我爱着你！
